SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2,ASSIGNMENTS
6653,-30.490522,152.400508,TransGrid 45.7m Lattice Tower 1433 Point Lookout Rd EBOR,NSW,4,2350,Within 100 metres,1437,NU8F,59
6687,-30.546519,151.649595,"NSWPF 30m Lattice Tower Kelly Plains, off 96 Translator Rd ARMIDALE",NSW,4,2350,Within 10 metres,1135,NU7K,48
6696,-31.023907,150.191973,NSWPF 30m Lattice Tower Black Jack Mountain via Barlow Road GUNNEDAH,NSW,4,2380,Within 10 metres,642,MV3A,77
6755,-31.277367,151.849914,Essential Energy 30m Lattice Tower off Porters Camp Rd YARROWITCH,NSW,4,2354,Within 10 metres,1419,NV1H,45
6782,-30.733264,151.485049,Harnham Hill Mt Salisbury  10 km S of URALLA,NSW,4,2358,Within 10 metres,1237,NU7J,27
6828,-29.83098,151.087092,Inverell Shire commsite UAMBI,NSW,4,2360,Within 10 metres,757,NU4M,43
6855,-29.770931,151.149427,Broadcast Australia Site Swanbrook Road INVERELL,NSW,4,2360,Within 100 metres,undefined,NU4M,869
6870,-29.062789,151.102435,"Essential Energy 27m Lattice Tower Mt Hallam, 794 Mount Hallam Rd ATHOLWOOD",NSW,4,2361,Within 10 metres,734,NU4A,44
6881,-29.329728,151.118829,Broadcast Australia site Ashford-Bukkulla Rd  2.4km ESE of ASHFORD,NSW,4,2360,Unknown,498,NU4E,158
6898,-29.959284,151.605113,RFS Site MOUNT RUMBEE,NSW,4,2365,Within 10 metres,1348,NU4O,27
6907,-30.091606,151.255538,NSWPF 30m Lattice Tower Mt Tingha 440 Tower Trial BASSENDEAN,NSW,4,2365,Within 10 metres,1177,NU7B,62
6909,-30.00748,151.68344,TransGrid 45.7m Lattice Tower off 480 Inn Rd BEN LOMOND,NSW,4,2365,Within 10 metres,1499,NU7C,96
6915,-29.903964,151.246441,Essential Energy 30m Lattice Tower Mt Topper Via Stannifer Rd TINGHA,NSW,4,2369,Within 10 metres,960,NU4M,62
6989,-29.376913,152.009964,"NSWPF 23.5m Lattice Tower , Capoompeta Trig, Magistrate Trail via Coxs Rd DEEPWATER",NSW,4,2371,Within 10 metres,1493,NU5E,95
7024,-30.703322,150.038245,Telstra site BOGGABRI,NSW,4,2382,Unknown,261,MU9I,58
